,title,price,year,link,brand,age
30,2015 nissan altima,3500,2015.0,https://charlottesville.craigslist.org/cto/d/richmond-2015-nissan-altima/7820703591.html,missing,10.0
31,2021 honda crv,29000,2021.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2021-honda-crv/7820682302.html,honda,4.0
32,2006 honda pilot exl fwd,4700,2006.0,https://charlottesville.craigslist.org/cto/d/henrico-2006-honda-pilot-exl-fwd/7820635670.html,honda,19.0
33,2003 dodge 1500,4000,2003.0,https://charlottesville.craigslist.org/cto/d/roseland-2003-dodge-1500/7820534784.html,dodge,22.0
34,2003 ford f250 6.0,18000,2003.0,https://charlottesville.craigslist.org/cto/d/roseland-2003-ford-f250-60/7820533171.html,ford,22.0
35,1957 international a series pickup truck,5250,1957.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-1957-international/7820520241.html,missing,68.0
36,1961 mg mga roadster,3250,1961.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-1961-mg-mga-roadster/7820520061.html,missing,64.0
37,2017 ford focus se,7000,2017.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2017-ford-focus-se/7820471454.html,ford,8.0
38,2014 acura mdx awd,7500,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-acura-mdx-awd/7820090695.html,acura,11.0
39,2014 honda odyssey van black,13000,2014.0,https://charlottesville.craigslist.org/cto/d/scottsville-2014-honda-odyssey-van-black/7820090166.html,honda,11.0
40,1984 gmc 3500,7000,1984.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1984-gmc-3500/7820076593.html,gmc,41.0
41,2010 honda crv lx,6500,2010.0,https://charlottesville.craigslist.org/cto/d/henrico-2010-honda-crv-lx/7820052637.html,honda,15.0
42,2018 mercedes sprinter 2500 crew van,62800,2018.0,https://charlottesville.craigslist.org/cto/d/barboursville-2018-mercedes-sprinter/7820040769.html,missing,7.0
43,2009 bmw 328i coupe,7500,2009.0,https://charlottesville.craigslist.org/cto/d/barboursville-2009-bmw-328i-coupe/7819945910.html,bmw,16.0
44,1997 nissan pathfinder,3500,1997.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1997-nissan-pathfinder/7819380167.html,missing,28.0
45,2018 tesla model s 75d awd manufacture warranty,26900,2018.0,https://charlottesville.craigslist.org/cto/d/henrico-2018-tesla-model-75d-awd/7819302933.html,tesla,7.0
46,2004 chevy silverado,3000,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-chevy-silverado/7819002309.html,chevy,21.0
47,a sweet sedan avalon xle plus,24000,,https://charlottesville.craigslist.org/cto/d/charlottesville-sweet-sedan-avalon-xle/7818676493.html,missing,
48,gmc sierra 3500hd 6.6 duramax diesel dually,26000,,https://charlottesville.craigslist.org/cto/d/charlottesville-gmc-sierra-3500hd-66/7818481465.html,gmc,
49,2012 nissan versa sl,3200,2012.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-nissan-versa-sl/7818255369.html,missing,13.0
50,ford e-350 2003 quigley 4x4 ambulance camper van,49500,2003.0,https://charlottesville.craigslist.org/cto/d/charlottesville-ford-quigley-4x4/7818176803.html,ford,22.0
51,2012 lexus rx450h awd,10950,2012.0,https://charlottesville.craigslist.org/cto/d/henrico-2012-lexus-rx450h-awd/7818114210.html,lexus,13.0
52,2008 toyota rav4,4500,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-toyota-rav4/7818070103.html,toyota,17.0
53,2013 honda ridgeline rtl 4wd,7900,2013.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2013-honda-ridgeline/7817681802.html,honda,12.0
54,1963 /1965 triumph tr4 convertible,2250,1963.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-triumph-tr4-convertible/7817663151.html,missing,62.0
55,1989 xj wrangler,4999,1989.0,https://charlottesville.craigslist.org/cto/d/white-hall-1989-xj-wrangler/7817049789.html,missing,36.0
56,2013 jeep grand cherokee - overland - 4wd (replaced motor),8750,2013.0,https://charlottesville.craigslist.org/cto/d/crozet-2013-jeep-grand-cherokee/7816766515.html,jeep,12.0
57,2004 lexus sc 430 convertible,11400,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-lexus-sc-430/7816110681.html,lexus,21.0
